StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q6,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant ID?,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,"How successful were you in accomplishing what
you were asked to do?","How hard did you have to work to accomplish
your level of performance?","How insecure, discouraged, irritated, stressed,
and annoyed were you?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2021-11-07 12:40:45,2021-11-07 12:41:15,0,8.9.80.175,100,29,1,2021-11-07 12:41:15,R_2OUXFIfTibevbRk,,,,,43.220703125,-77.5991973876953125,anonymous,EN,as012,10,18,11,15,8,13
2021-11-10 09:57:46,2021-11-10 09:58:36,0,98.3.27.5,100,49,1,2021-11-10 09:58:37,R_3PQQ9qm7oYNiXXK,,,,,43.1139984130859375,-77.56890106201171875,anonymous,EN,as021,10,8,3,2,7,5
2021-11-12 14:04:16,2021-11-12 14:04:48,0,68.180.87.9,100,31,1,2021-11-12 14:04:48,R_2Pv8Pc9QzJXnE1o,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,kn012,15,6,14,9,18,18
2021-11-12 18:57:28,2021-11-12 18:57:57,0,73.6.37.227,100,28,1,2021-11-12 18:57:57,R_1H2L9MR13lhWJml,,,,,29.673095703125,-95.585601806640625,anonymous,EN,sl021,6,6,6,6,6,7
2021-11-12 21:36:01,2021-11-12 21:36:18,0,8.9.87.190,100,16,1,2021-11-12 21:36:18,R_3svp6KtC2xZffBj,,,,,43.1443939208984375,-77.50569915771484375,anonymous,EN,nk012,17,18,10,14,16,13
2021-11-13 08:37:01,2021-11-13 08:37:34,0,68.180.86.28,100,32,1,2021-11-13 08:37:34,R_2w0LzdXLBcLFh0j,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,ja021,15,6,14,4,13,10
2021-11-13 12:56:10,2021-11-13 12:56:33,0,67.246.240.97,100,22,1,2021-11-13 12:56:33,R_1GQ96I7XWhRwBeE,,,,,43.0908050537109375,-77.4347991943359375,anonymous,EN,rj012,20,20,15,11,20,20
2021-11-14 10:40:39,2021-11-14 10:42:00,0,8.9.80.166,100,81,1,2021-11-14 10:42:01,R_2vhS0kFTgdTRgdF,,,,,43.220703125,-77.5991973876953125,anonymous,EN,ky021,4,17,9,15,18,19
2021-11-14 12:38:01,2021-11-14 12:38:40,0,174.61.168.233,100,38,1,2021-11-14 12:38:40,R_3Mhu9UcSY1o4Mfx,,,,,47.6143951416015625,-122.344696044921875,anonymous,EN,yz012,7,13,8,8,8,3
2021-11-14 22:11:29,2021-11-14 22:12:31,0,64.251.151.197,100,61,1,2021-11-14 22:12:32,R_OxSGMzKLdrTBMt3,,,,,37.9474945068359375,-91.76360321044921875,anonymous,EN,sc021,8,12,5,3,4,10
2021-11-15 18:02:59,2021-11-15 18:03:33,0,73.163.155.227,100,33,1,2021-11-15 18:03:33,R_2WwJedV2q3LOF5v,,,,,39.3406982421875,-76.67530059814453125,anonymous,EN,zz012,12,10,6,15,7,5
2021-11-15 20:36:56,2021-11-15 20:37:46,0,67.251.100.48,100,50,1,2021-11-15 20:37:46,R_2ONEz7fj8bZi2JY,,,,,42.0825042724609375,-75.90039825439453125,anonymous,EN,kz021,5,8,5,10,14,5
2021-11-16 09:34:18,2021-11-16 09:35:01,0,107.77.225.227,100,42,1,2021-11-16 09:35:01,R_2b1xTjuqw8YCQpQ,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,ce012,9,3,3,16,11,6
2021-11-16 18:53:17,2021-11-16 18:53:52,0,108.26.197.36,100,35,1,2021-11-16 18:53:53,R_2xLYEF9mTydghFJ,,,,,42.3291015625,-71.1815032958984375,anonymous,EN,ca012,5,10,8,8,10,10
2021-11-16 21:19:04,2021-11-16 21:19:32,0,68.47.181.51,100,27,1,2021-11-16 21:19:32,R_1N5mdI4yCpwUj9B,,,,,36.131500244140625,-86.80190277099609375,anonymous,EN,sy021,14,14,14,11,14,5
