StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10_1,Q10_2,Q10_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant ID?,I felt I could type text efficiently using the conventional gesture typing on the T9 keyboard.,I felt it was easy to learn to use the conventional gesture typing on the T9 keyboard.,I felt I could type text efficiently using gesture typing with enhanced key 1 on the T9 keyboard.,I felt it was easy to learn to use gesture typing with enhanced key 1 on the T9 keyboard.,I felt I could type text efficiently using the wiggling gesture typing on the T9 keyboard.,I felt it was easy to learn to use the wiggling gesture typing on the T9 keyboard.,Please rank your preference of the three gesture typing methods on the T9 keyboard. - The conventional gesture typing,Please rank your preference of the three gesture typing methods on the T9 keyboard. - The gesture typing with enhanced key 1,Please rank your preference of the three gesture typing methods on the T9 keyboard. - The wiggling gesture typing
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}"
2021-11-07 12:41:18,2021-11-07 12:42:52,0,8.9.80.175,100,94,1,2021-11-07 12:42:53,R_11ZRegquhh8o2x3,,,,,43.220703125,-77.5991973876953125,anonymous,EN,as012,4,3,4,3,2,3,4,3,2
2021-11-10 10:16:38,2021-11-10 10:17:46,0,98.3.27.5,100,67,1,2021-11-10 10:17:46,R_33m780OeEDofuQ7,,,,,43.1139984130859375,-77.56890106201171875,anonymous,EN,as021,2,4,5,5,1,4,4,5,1
2021-11-12 14:04:55,2021-11-12 14:06:24,0,68.180.87.9,100,89,1,2021-11-12 14:06:24,R_11cLRktfcKkCPK3,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,kn012,1,3,4,4,1,1,1,3,1
2021-11-12 19:22:29,2021-11-12 19:23:20,0,73.6.37.227,100,50,1,2021-11-12 19:23:20,R_2ZX2q20ZUxckxzR,,,,,29.673095703125,-95.585601806640625,anonymous,EN,sl021,3,4,5,4,3,3,3,5,4
2021-11-12 21:36:26,2021-11-12 21:37:09,0,8.9.87.190,100,42,1,2021-11-12 21:37:09,R_1N3SPfWUJH01cuc,,,,,43.1443939208984375,-77.50569915771484375,anonymous,EN,nk012,2,2,3,4,3,3,2,4,1
2021-11-13 09:00:29,2021-11-13 09:01:29,0,68.180.86.28,100,60,1,2021-11-13 09:01:29,R_1F3Wxf5RNc3c7zl,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,ja021,4,4,5,5,2,3,3,4,2
2021-11-13 12:56:41,2021-11-13 12:57:28,0,67.246.240.97,100,46,1,2021-11-13 12:57:29,R_Z4a7KucszKv65DH,,,,,43.0908050537109375,-77.4347991943359375,anonymous,EN,rj012,2,5,5,5,1,1,1,5,2
2021-11-14 11:09:33,2021-11-14 11:11:40,0,8.9.80.166,100,126,1,2021-11-14 11:11:40,R_2q1yFawUpdgMY66,,,,,43.220703125,-77.5991973876953125,anonymous,EN,ky021,3,4,5,5,1,1,4,5,1
2021-11-14 12:38:50,2021-11-14 12:40:01,0,174.61.168.233,100,71,1,2021-11-14 12:40:02,R_DBLvsH90i1GwV2h,,,,,47.6143951416015625,-122.344696044921875,anonymous,EN,yz012,4,4,4,5,2,4,4,5,2
2021-11-14 22:31:06,2021-11-14 22:32:43,0,64.251.151.197,100,96,1,2021-11-14 22:32:43,R_pEPKaafd9daV9KN,,,,,37.9474945068359375,-91.76360321044921875,anonymous,EN,sc021,3,5,5,5,2,5,3,5,2
2021-11-15 18:03:43,2021-11-15 18:04:47,0,73.163.155.227,100,63,1,2021-11-15 18:04:47,R_24wmdOj5FMbglk2,,,,,39.3406982421875,-76.67530059814453125,anonymous,EN,zz012,3,4,5,5,3,3,3,5,4
2021-11-15 20:59:30,2021-11-15 21:00:59,0,67.251.100.48,100,88,1,2021-11-15 21:00:59,R_2AKnZOH3RSyAlCX,,,,,42.0825042724609375,-75.90039825439453125,anonymous,EN,kz021,4,3,5,5,4,4,4,5,4
2021-11-16 09:35:14,2021-11-16 09:36:16,0,107.77.225.227,100,61,1,2021-11-16 09:36:16,R_1OvJQyEZy4bd6YW,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,ce012,3,4,5,5,1,2,3,4,2
2021-11-16 18:54:20,2021-11-16 18:56:06,0,108.26.197.36,100,105,1,2021-11-16 18:56:06,R_3h45KKDHg6wSq8G,,,,,42.3291015625,-71.1815032958984375,anonymous,EN,ca012,4,3,5,5,3,3,3,5,4
2021-11-16 21:40:20,2021-11-16 21:41:31,0,68.47.181.51,100,70,1,2021-11-16 21:41:31,R_3ikVjzGr3u5Lq3g,,,,,36.131500244140625,-86.80190277099609375,anonymous,EN,sy021,2,2,5,4,2,1,3,5,1
